x	y	key	tooltip	clickSelects	showSelected1
-1.41895783821237	-1.41895783821237	1	fold 1 featureless=-1.419 rpart=-1.419	1	constant easy 10
-1.35014038840853	-1.35014038840853	2	fold 2 featureless=-1.350 rpart=-1.350	2	constant easy 10
-1.49302322880736	-1.49302322880736	3	fold 3 featureless=-1.493 rpart=-1.493	3	constant easy 10
-1.51532205535702	-1.51532205535702	4	fold 4 featureless=-1.515 rpart=-1.515	4	constant easy 10
-1.56959932160807	-1.56959932160807	5	fold 5 featureless=-1.570 rpart=-1.570	5	constant easy 10
-1.59116280808719	-1.59116280808719	6	fold 6 featureless=-1.591 rpart=-1.591	6	constant easy 10
-1.573263985391	-1.573263985391	1	fold 1 featureless=-1.573 rpart=-1.573	1	constant easy 18
-1.51490409524756	-1.51490409524756	2	fold 2 featureless=-1.515 rpart=-1.515	2	constant easy 18
-1.60291724693251	-1.60291724693251	3	fold 3 featureless=-1.603 rpart=-1.603	3	constant easy 18
-1.52682062992775	-1.52682062992775	4	fold 4 featureless=-1.527 rpart=-1.527	4	constant easy 18
-1.54443433258697	-1.54443433258697	5	fold 5 featureless=-1.544 rpart=-1.544	5	constant easy 18
-1.51477273283223	-1.51477273283223	6	fold 6 featureless=-1.515 rpart=-1.515	6	constant easy 18
-1.60997287378104	-1.53288377215337	1	fold 1 featureless=-1.610 rpart=-1.533	1	constant easy 32
-1.57361778671753	-1.51150244979818	2	fold 2 featureless=-1.574 rpart=-1.512	2	constant easy 32
-1.63396268239854	-1.5458987911376	3	fold 3 featureless=-1.634 rpart=-1.546	3	constant easy 32
-1.60239328300034	-1.57343956358609	4	fold 4 featureless=-1.602 rpart=-1.573	4	constant easy 32
-1.64863837919281	-1.62048326677402	5	fold 5 featureless=-1.649 rpart=-1.620	5	constant easy 32
-1.60867469647846	-1.58606063502405	6	fold 6 featureless=-1.609 rpart=-1.586	6	constant easy 32
-1.62743429089187	-1.60445053253074	1	fold 1 featureless=-1.627 rpart=-1.604	1	constant easy 56
-1.59254457775999	-1.45383184340785	2	fold 2 featureless=-1.593 rpart=-1.454	2	constant easy 56
-1.62413424140777	-1.52034372865823	3	fold 3 featureless=-1.624 rpart=-1.520	3	constant easy 56
-1.62552857366259	-1.59555474825539	4	fold 4 featureless=-1.626 rpart=-1.596	4	constant easy 56
-1.68509789548412	-1.64159385118686	5	fold 5 featureless=-1.685 rpart=-1.642	5	constant easy 56
-1.6188266112921	-1.59531269710761	6	fold 6 featureless=-1.619 rpart=-1.595	6	constant easy 56
-1.62453107195687	-1.49582361890216	1	fold 1 featureless=-1.625 rpart=-1.496	1	constant easy 100
-1.59218118106048	-1.42708575283082	2	fold 2 featureless=-1.592 rpart=-1.427	2	constant easy 100
-1.60159311170119	-1.46747633872109	3	fold 3 featureless=-1.602 rpart=-1.467	3	constant easy 100
-1.63342346228979	-1.58886110610617	4	fold 4 featureless=-1.633 rpart=-1.589	4	constant easy 100
-1.7033911737603	-1.63228247247802	5	fold 5 featureless=-1.703 rpart=-1.632	5	constant easy 100
-1.622826117256	-1.59957378682116	6	fold 6 featureless=-1.623 rpart=-1.600	6	constant easy 100
-1.62750150460095	-1.56462639945675	1	fold 1 featureless=-1.628 rpart=-1.565	1	constant easy 178
-1.59283337499691	-1.54498574227004	2	fold 2 featureless=-1.593 rpart=-1.545	2	constant easy 178
-1.61995316064613	-1.50922834113155	3	fold 3 featureless=-1.620 rpart=-1.509	3	constant easy 178
-1.63505783948308	-1.56299948073091	4	fold 4 featureless=-1.635 rpart=-1.563	4	constant easy 178
-1.70472988017849	-1.61875832981974	5	fold 5 featureless=-1.705 rpart=-1.619	5	constant easy 178
-1.62162398654741	-1.57728468724498	6	fold 6 featureless=-1.622 rpart=-1.577	6	constant easy 178
-1.62683022063992	-1.55456204866164	1	fold 1 featureless=-1.627 rpart=-1.555	1	constant easy 316
-1.58992447420422	-1.55055161001986	2	fold 2 featureless=-1.590 rpart=-1.551	2	constant easy 316
-1.62447429511258	-1.57611979079313	3	fold 3 featureless=-1.624 rpart=-1.576	3	constant easy 316
-1.63533872933457	-1.60050829502528	4	fold 4 featureless=-1.635 rpart=-1.601	4	constant easy 316
-1.7051700570317	-1.64448901889259	5	fold 5 featureless=-1.705 rpart=-1.644	5	constant easy 316
-1.62277750782634	-1.60495077305624	6	fold 6 featureless=-1.623 rpart=-1.605	6	constant easy 316
-1.62665509198269	-1.61515929290945	1	fold 1 featureless=-1.627 rpart=-1.615	1	constant easy 562
-1.58908908229678	-1.57858428480611	2	fold 2 featureless=-1.589 rpart=-1.579	2	constant easy 562
-1.62801209180589	-1.60600811181815	3	fold 3 featureless=-1.628 rpart=-1.606	3	constant easy 562
-1.63509126950565	-1.60386067757548	4	fold 4 featureless=-1.635 rpart=-1.604	4	constant easy 562
-1.70545394610854	-1.70545394610854	5	fold 5 featureless=-1.705 rpart=-1.705	5	constant easy 562
-1.62294241685843	-1.60355742713229	6	fold 6 featureless=-1.623 rpart=-1.604	6	constant easy 562
-1.62747064526929	-1.62747064526929	1	fold 1 featureless=-1.627 rpart=-1.627	1	constant easy 1000
-1.58951002070883	-1.58951002070883	2	fold 2 featureless=-1.590 rpart=-1.590	2	constant easy 1000
-1.62701126337394	-1.62701126337394	3	fold 3 featureless=-1.627 rpart=-1.627	3	constant easy 1000
-1.63555350325302	-1.63555350325302	4	fold 4 featureless=-1.636 rpart=-1.636	4	constant easy 1000
-1.70542275356419	-1.70542275356419	5	fold 5 featureless=-1.705 rpart=-1.705	5	constant easy 1000
-1.62280975298544	-1.62280975298545	6	fold 6 featureless=-1.623 rpart=-1.623	6	constant easy 1000
-1.58208423787127	-1.58208423787127	1	fold 1 featureless=-1.582 rpart=-1.582	1	constant hard 10
-1.60776401383709	-1.60776401383709	2	fold 2 featureless=-1.608 rpart=-1.608	2	constant hard 10
-1.56313599744457	-1.56313599744457	3	fold 3 featureless=-1.563 rpart=-1.563	3	constant hard 10
-1.55264183081952	-1.55264183081952	4	fold 4 featureless=-1.553 rpart=-1.553	4	constant hard 10
-1.62955588545421	-1.62955588545421	5	fold 5 featureless=-1.630 rpart=-1.630	5	constant hard 10
-1.73698986775138	-1.73698986775138	6	fold 6 featureless=-1.737 rpart=-1.737	6	constant hard 10
-1.60373369635738	-1.60373369635738	1	fold 1 featureless=-1.604 rpart=-1.604	1	constant hard 18
-1.66183993437034	-1.66183993437034	2	fold 2 featureless=-1.662 rpart=-1.662	2	constant hard 18
-1.59897650072773	-1.59897650072773	3	fold 3 featureless=-1.599 rpart=-1.599	3	constant hard 18
-1.53075516481152	-1.53075516481152	4	fold 4 featureless=-1.531 rpart=-1.531	4	constant hard 18
-1.62917429189852	-1.62917429189852	5	fold 5 featureless=-1.629 rpart=-1.629	5	constant hard 18
-1.74110299025083	-1.74110299025083	6	fold 6 featureless=-1.741 rpart=-1.741	6	constant hard 18
-1.607459684047	-1.59099413079036	1	fold 1 featureless=-1.607 rpart=-1.591	1	constant hard 32
-1.64026263597044	-1.60719754484188	2	fold 2 featureless=-1.640 rpart=-1.607	2	constant hard 32
-1.58508335304869	-1.54452849863426	3	fold 3 featureless=-1.585 rpart=-1.545	3	constant hard 32
-1.5136474611492	-1.48613605678505	4	fold 4 featureless=-1.514 rpart=-1.486	4	constant hard 32
-1.59191638471881	-1.5799039818973	5	fold 5 featureless=-1.592 rpart=-1.580	5	constant hard 32
-1.71092471062337	-1.69293506241713	6	fold 6 featureless=-1.711 rpart=-1.693	6	constant hard 32
-1.59195546057503	-1.48404872636745	1	fold 1 featureless=-1.592 rpart=-1.484	1	constant hard 56
-1.66177802155298	-1.49090187162859	2	fold 2 featureless=-1.662 rpart=-1.491	2	constant hard 56
-1.64507126735665	-1.53548748733357	3	fold 3 featureless=-1.645 rpart=-1.535	3	constant hard 56
-1.56998508763088	-1.52226123974813	4	fold 4 featureless=-1.570 rpart=-1.522	4	constant hard 56
-1.63371452717403	-1.62338166880041	5	fold 5 featureless=-1.634 rpart=-1.623	5	constant hard 56
-1.72349764289499	-1.61008590012419	6	fold 6 featureless=-1.723 rpart=-1.610	6	constant hard 56
-1.60204672485301	-1.51718334658476	1	fold 1 featureless=-1.602 rpart=-1.517	1	constant hard 100
-1.6599024435883	-1.55793007913756	2	fold 2 featureless=-1.660 rpart=-1.558	2	constant hard 100
-1.64644913666771	-1.56163209520274	3	fold 3 featureless=-1.646 rpart=-1.562	3	constant hard 100
-1.56238421687333	-1.47992812955507	4	fold 4 featureless=-1.562 rpart=-1.480	4	constant hard 100
-1.64048367768545	-1.57433191034911	5	fold 5 featureless=-1.640 rpart=-1.574	5	constant hard 100
-1.7472692120751	-1.62068209174129	6	fold 6 featureless=-1.747 rpart=-1.621	6	constant hard 100
-1.60010482463737	-1.53202671743583	1	fold 1 featureless=-1.600 rpart=-1.532	1	constant hard 178
-1.66092672676339	-1.59730546557068	2	fold 2 featureless=-1.661 rpart=-1.597	2	constant hard 178
-1.65459413989798	-1.60086325587766	3	fold 3 featureless=-1.655 rpart=-1.601	3	constant hard 178
-1.58433854448506	-1.54493342367723	4	fold 4 featureless=-1.584 rpart=-1.545	4	constant hard 178
-1.63856927612427	-1.5791806610482	5	fold 5 featureless=-1.639 rpart=-1.579	5	constant hard 178
-1.74742974557494	-1.57691911589154	6	fold 6 featureless=-1.747 rpart=-1.577	6	constant hard 178
-1.60810977960285	-1.54444145393658	1	fold 1 featureless=-1.608 rpart=-1.544	1	constant hard 316
-1.65748667884451	-1.62050182950601	2	fold 2 featureless=-1.657 rpart=-1.621	2	constant hard 316
-1.65466172221572	-1.65571061970337	3	fold 3 featureless=-1.655 rpart=-1.656	3	constant hard 316
-1.58664335018209	-1.56647749666577	4	fold 4 featureless=-1.587 rpart=-1.566	4	constant hard 316
