fill	ymin	ymax	x	group	showSelectedlegendsizefill	PANEL	colour
#FF0000	-1.58850728849576	-1.39568858804401	1	1	featureless	1	#FF0000
#00BFFF	-1.58850728849576	-1.39568858804401	1	2	rpart	1	#00BFFF
#FF0000	-1.58105071089708	-1.5117097719009	1.25527250510331	1	featureless	1	#FF0000
#00BFFF	-1.58105071089708	-1.5117097719009	1.25527250510331	2	rpart	1	#00BFFF
#FF0000	-1.63918247975695	-1.58684012490166	1.50514997831991	1	featureless	1	#FF0000
#00BFFF	-1.60116548709094	-1.52281862816575	1.50514997831991	2	rpart	1	#00BFFF
#FF0000	-1.65855497096625	-1.599567253229	1.7481880270062	1	featureless	1	#FF0000
#00BFFF	-1.64301185558803	-1.49688839721724	1.7481880270062	2	rpart	1	#00BFFF
#FF0000	-1.66735400963245	-1.59233159458912	2	1	featureless	1	#FF0000
#00BFFF	-1.6207911051617	-1.45257698535054	2	2	rpart	1	#00BFFF
#FF0000	-1.669823414137	-1.59775883615376	2.25042000230889	1	featureless	1	#FF0000
#00BFFF	-1.59938648546662	-1.52707917208518	2.25042000230889	2	rpart	1	#00BFFF
#FF0000	-1.67093523225832	-1.59761367707862	2.4996870826184	1	featureless	1	#FF0000
#00BFFF	-1.62373533717571	-1.55375200487308	2.4996870826184	2	rpart	1	#00BFFF
#FF0000	-1.67161349549828	-1.59785709758021	2.74973631556906	1	featureless	1	#FF0000
#00BFFF	-1.66032707193164	-1.57757316255132	2.74973631556906	2	rpart	1	#00BFFF
#FF0000	-1.67159835898778	-1.59804707842454	3	1	featureless	1	#FF0000
#00BFFF	-1.67159835898778	-1.59804707842454	3	2	rpart	1	#00BFFF
#FF0000	-1.67498268668976	-1.54980107815164	1	1	featureless	2	#FF0000
#00BFFF	-1.67498268668976	-1.54980107815164	1	2	rpart	2	#00BFFF
#FF0000	-1.69781501596382	-1.55906003089734	1.25527250510331	1	featureless	2	#FF0000
#00BFFF	-1.69781501596382	-1.55906003089734	1.25527250510331	2	rpart	2	#00BFFF
#FF0000	-1.67404601968116	-1.54398496464109	1.50514997831991	1	featureless	2	#FF0000
#00BFFF	-1.65279858163342	-1.51617975932686	1.50514997831991	2	rpart	2	#00BFFF
#FF0000	-1.69162262481041	-1.58471270161787	1.7481880270062	1	featureless	2	#FF0000
#00BFFF	-1.60292897981621	-1.48688573217606	1.7481880270062	2	rpart	2	#00BFFF
#FF0000	-1.70441733744634	-1.58296136490784	2	1	featureless	2	#FF0000
#00BFFF	-1.60151279958905	-1.50338491200411	2	2	rpart	2	#00BFFF
#FF0000	-1.70343786323041	-1.59276004362813	2.25042000230889	1	featureless	2	#FF0000
#00BFFF	-1.60025911166835	-1.54381591823008	2.25042000230889	2	rpart	2	#00BFFF
#FF0000	-1.70110027330819	-1.59603557849371	2.4996870826184	1	featureless	2	#FF0000
#00BFFF	-1.66738897481599	-1.56500163540668	2.4996870826184	2	rpart	2	#00BFFF
#FF0000	-1.69918968953582	-1.59715694978719	2.74973631556906	1	featureless	2	#FF0000
#00BFFF	-1.69927275090566	-1.59421733034955	2.74973631556906	2	rpart	2	#00BFFF
#FF0000	-1.70045987746713	-1.59636823453728	3	1	featureless	2	#FF0000
#00BFFF	-1.70045987746713	-1.59636823453728	3	2	rpart	2	#00BFFF
#FF0000	-1.55653711453802	-1.46354408873325	1	1	featureless	3	#FF0000
#00BFFF	-1.55653711453802	-1.46354408873325	1	2	rpart	3	#00BFFF
#FF0000	-1.57083667836092	-1.48664706648915	1.25527250510331	1	featureless	3	#FF0000
#00BFFF	-1.57083667836092	-1.48664706648915	1.25527250510331	2	rpart	3	#00BFFF
#FF0000	-1.62037588036629	-1.49067292595723	1.50514997831991	1	featureless	3	#FF0000
#00BFFF	-1.59591274432044	-1.45931343761674	1.50514997831991	2	rpart	3	#00BFFF
#FF0000	-1.61613967622046	-1.51900850383872	1.7481880270062	1	featureless	3	#FF0000
#00BFFF	-1.54076754131146	-1.43758627730477	1.7481880270062	2	rpart	3	#00BFFF
#FF0000	-1.61960031533562	-1.52082389740384	2	1	featureless	3	#FF0000
#00BFFF	-1.51060029216178	-1.44918627601809	2	2	rpart	3	#00BFFF
#FF0000	-1.6196245406105	-1.51922496869791	2.25042000230889	1	featureless	3	#FF0000
#00BFFF	-1.54093649936193	-1.46609731307234	2.25042000230889	2	rpart	3	#00BFFF
#FF0000	-1.61942727144437	-1.51919046095587	2.4996870826184	1	featureless	3	#FF0000
#00BFFF	-1.56730856408859	-1.47216595318409	2.4996870826184	2	rpart	3	#00BFFF
#FF0000	-1.61977225174669	-1.5232175831792	2.74973631556906	1	featureless	3	#FF0000
#00BFFF	-1.59362236082083	-1.51052019113893	2.74973631556906	2	rpart	3	#00BFFF
#FF0000	-1.6200599157823	-1.52419004763048	3	1	featureless	3	#FF0000
#00BFFF	-1.6200599157823	-1.52419004763048	3	2	rpart	3	#00BFFF
#FF0000	-1.47185973203524	-1.40938540392585	1	1	featureless	4	#FF0000
#00BFFF	-1.47185973203524	-1.40938540392585	1	2	rpart	4	#00BFFF
#FF0000	-1.47164655043447	-1.40933107140923	1.25527250510331	1	featureless	4	#FF0000
#00BFFF	-1.47164655043447	-1.40933107140923	1.25527250510331	2	rpart	4	#00BFFF
#FF0000	-1.47425556211496	-1.41256326126726	1.50514997831991	1	featureless	4	#FF0000
#00BFFF	-1.49437737217434	-1.41219559159832	1.50514997831991	2	rpart	4	#00BFFF
#FF0000	-1.47377106424814	-1.41309906829379	1.7481880270062	1	featureless	4	#FF0000
#00BFFF	-1.66829739562687	-1.55353640095464	1.7481880270062	2	rpart	4	#00BFFF
#FF0000	-1.47350578996515	-1.41615649620437	2	1	featureless	4	#FF0000
#00BFFF	-1.81170319894384	-1.7401541265939	2	2	rpart	4	#00BFFF
#FF0000	-1.47444562623532	-1.41769708322275	2.25042000230889	1	featureless	4	#FF0000
#00BFFF	-1.86673268416722	-1.81187876882914	2.25042000230889	2	rpart	4	#00BFFF
#FF0000	-1.47357115007047	-1.41750122927009	2.4996870826184	1	featureless	4	#FF0000
#00BFFF	-1.93404279292469	-1.85809726326938	2.4996870826184	2	rpart	4	#00BFFF
#FF0000	-1.47337984191909	-1.41774025766945	2.74973631556906	1	featureless	4	#FF0000
#00BFFF	-1.93509491673802	-1.85383171679312	2.74973631556906	2	rpart	4	#00BFFF
#FF0000	-1.47310082386342	-1.41741061040755	3	1	featureless	4	#FF0000
#00BFFF	-1.95062196941626	-1.88248250993622	3	2	rpart	4	#00BFFF
#FF0000	-1.54089157613496	-1.42187864814062	1	1	featureless	5	#FF0000
#00BFFF	-1.54089157613496	-1.42187864814062	1	2	rpart	5	#00BFFF
#FF0000	-1.54056608134891	-1.48026692363894	1.25527250510331	1	featureless	5	#FF0000
#00BFFF	-1.54056608134891	-1.48026692363894	1.25527250510331	2	rpart	5	#00BFFF
#FF0000	-1.54207740330849	-1.47459874321268	1.50514997831991	1	featureless	5	#FF0000
#00BFFF	-1.48786072055351	-1.4322987715245	1.50514997831991	2	rpart	5	#00BFFF
#FF0000	-1.56006618840007	-1.48576591696611	1.7481880270062	1	featureless	5	#FF0000
#00BFFF	-1.55344713829747	-1.47948573945907	1.7481880270062	2	rpart	5	#00BFFF
#FF0000	-1.55937321612701	-1.48362825431166	2	1	featureless	5	#FF0000
#00BFFF	-1.58689170167424	-1.51763411274476	2	2	rpart	5	#00BFFF
#FF0000	-1.55921143300775	-1.48847491413885	2.25042000230889	1	featureless	5	#FF0000
#00BFFF	-1.62816338761439	-1.52244387739005	2.25042000230889	2	rpart	5	#00BFFF
#FF0000	-1.5597524046005	-1.48955193713789	2.4996870826184	1	featureless	5	#FF0000
#00BFFF	-1.62039185723738	-1.5556613053734	2.4996870826184	2	rpart	5	#00BFFF
#FF0000	-1.56006135535686	-1.48976946778117	2.74973631556906	1	featureless	5	#FF0000
#00BFFF	-1.62237862245912	-1.5591319408265	2.74973631556906	2	rpart	5	#00BFFF
#FF0000	-1.56065357291685	-1.49015968787454	3	1	featureless	5	#FF0000
#00BFFF	-1.6360486556918	-1.57938299061651	3	2	rpart	5	#00BFFF
#FF0000	-1.59450704328666	-1.51383105989665	1	1	featureless	6	#FF0000
#00BFFF	-1.59450704328666	-1.51383105989665	1	2	rpart	6	#00BFFF
#FF0000	-1.60611770940129	-1.50683871866358	1.25527250510331	1	featureless	6	#FF0000
#00BFFF	-1.60611770940129	-1.50683871866358	1.25527250510331	2	rpart	6	#00BFFF
#FF0000	-1.61009525064391	-1.47109220556888	1.50514997831991	1	featureless	6	#FF0000
#00BFFF	-1.49672447237033	-1.42560863494592	1.50514997831991	2	rpart	6	#00BFFF
#FF0000	-1.58590250586708	-1.51361860235069	1.7481880270062	1	featureless	6	#FF0000
#00BFFF	-1.5026328339986	-1.44209949106741	1.7481880270062	2	rpart	6	#00BFFF
#FF0000	-1.59938774001651	-1.51939151090853	2	1	featureless	6	#FF0000
#00BFFF	-1.51352031501172	-1.40521301975874	2	2	rpart	6	#00BFFF
#FF0000	-1.60246818191983	-1.51958496841341	2.25042000230889	1	featureless	6	#FF0000
#00BFFF	-1.5404998159148	-1.40994600663309	2.25042000230889	2	rpart	6	#00BFFF
#FF0000	-1.6086781892368	-1.52205642618266	2.4996870826184	1	featureless	6	#FF0000
#00BFFF	-1.56536364685376	-1.433823953838	2.4996870826184	2	rpart	6	#00BFFF
#FF0000	-1.61021169647511	-1.52372088124628	2.74973631556906	1	featureless	6	#FF0000
#00BFFF	-1.6051290213788	-1.51248380358345	2.74973631556906	2	rpart	6	#00BFFF
#FF0000	-1.61058480900724	-1.52327162954867	3	1	featureless	6	#FF0000
#00BFFF	-1.60928889232409	-1.51729410698155	3	2	rpart	6	#00BFFF
