size	fill	colour	y	x	showSelectedlegendcolour	showSelectedlegendsizefill	PANEL
4	#FF0000	transparent	-1.48148369973718	1	not significant	featureless	1
2	#00BFFF	transparent	-1.48148369973718	1	not significant	rpart	1
4	#FF0000	transparent	-1.54499780749493	1.25527250510331	not significant	featureless	1
2	#00BFFF	transparent	-1.54499780749493	1.25527250510331	not significant	rpart	1
4	#FF0000	#000000	-1.61222322372015	1.50514997831991	significant	featureless	1
2	#00BFFF	#000000	-1.56022772344283	1.50514997831991	significant	rpart	1
4	#FF0000	transparent	-1.62806038573959	1.7481880270062	not significant	featureless	1
2	#00BFFF	transparent	-1.56383327963056	1.7481880270062	not significant	rpart	1
4	#FF0000	#000000	-1.62822483932374	2	significant	featureless	1
2	#00BFFF	#000000	-1.52859021031503	2	significant	rpart	1
4	#FF0000	#000000	-1.63229808400807	2.25042000230889	significant	featureless	1
2	#00BFFF	#000000	-1.56172972427402	2.25042000230889	significant	rpart	1
4	#FF0000	transparent	-1.63272893717077	2.4996870826184	not significant	featureless	1
2	#00BFFF	transparent	-1.58733553175998	2.4996870826184	not significant	rpart	1
4	#FF0000	transparent	-1.63317141494661	2.74973631556906	not significant	featureless	1
2	#00BFFF	transparent	-1.61698201884662	2.74973631556906	not significant	rpart	1
4	#FF0000	transparent	-1.6332675130087	3	not significant	featureless	1
2	#00BFFF	transparent	-1.6332675130087	3	not significant	rpart	1
4	#FF0000	transparent	-1.60789709646842	1	not significant	featureless	2
2	#00BFFF	transparent	-1.60789709646842	1	not significant	rpart	2
4	#FF0000	transparent	-1.62291948994921	1.25527250510331	not significant	featureless	2
2	#00BFFF	transparent	-1.62291948994921	1.25527250510331	not significant	rpart	2
4	#FF0000	transparent	-1.60416479731766	1.50514997831991	not significant	featureless	2
2	#00BFFF	transparent	-1.57913904291379	1.50514997831991	not significant	rpart	2
4	#FF0000	#000000	-1.63488619508473	1.7481880270062	significant	featureless	2
2	#00BFFF	#000000	-1.54104299478295	1.7481880270062	significant	rpart	2
4	#FF0000	#000000	-1.63945727747157	2	significant	featureless	2
2	#00BFFF	#000000	-1.54968325856427	2	significant	rpart	2
4	#FF0000	#000000	-1.64458274073106	2.25042000230889	significant	featureless	2
2	#00BFFF	#000000	-1.57112120280948	2.25042000230889	significant	rpart	2
4	#FF0000	transparent	-1.64539848188445	2.4996870826184	not significant	featureless	2
2	#00BFFF	transparent	-1.61318496888797	2.4996870826184	not significant	rpart	2
4	#FF0000	transparent	-1.64518375118798	2.74973631556906	not significant	featureless	2
2	#00BFFF	transparent	-1.64357615477508	2.74973631556906	not significant	rpart	2
