y	x	key	label	showSelected1	PANEL	group	anchor
-1.44830825492187	1	1	p=1.0000	constant easy 10	1	1	start
-1.50479281866144	1.25527250510331	1	p=1.0000	constant easy 18	1	5	start
-1.52031872792066	1.50514997831991	1	p=0.0273	constant easy 32	1	7	start
-1.52712188169956	1.7481880270062	1	p=0.0900	constant easy 56	1	8	start
-1.49379116081835	2	1	p=0.0389	constant easy 100	1	2	end
-1.52158781161744	2.25042000230889	1	p=0.0078	constant easy 178	1	4	end
-1.54713757091657	2.4996870826184	1	p=0.0580	constant easy 316	1	6	end
-1.57737793823344	2.74973631556906	1	p=0.5240	constant easy 562	1	9	end
-1.59323697136756	3	1	p=1.0000	constant easy 1000	1	3	end
-1.57063595370478	1	1	p=1.0000	constant hard 10	2	10	start
-1.58620441124449	1.25527250510331	1	p=1.0000	constant hard 18	2	14	start
-1.54222319406944	1.50514997831991	1	p=0.5393	constant hard 32	2	16	start
-1.50296846384216	1.7481880270062	1	p=0.0176	constant hard 56	2	17	start
-1.51055525693686	2	1	p=0.0188	constant hard 100	2	11	end
-1.53047875475863	2.25042000230889	1	p=0.0220	constant hard 178	2	13	end
-1.57421519414305	2.4996870826184	1	p=0.3069	constant hard 316	2	15	end
-1.60496417219501	2.74973631556906	1	p=0.9636	constant hard 562	2	18	end
-1.6066508353397	3	1	p=1.0000	constant hard 1000	2	12	end
-1.46828114164881	1	1	p=1.0000	constant impossible 10	3	19	start
-1.48699139794476	1.25527250510331	1	p=1.0000	constant impossible 18	3	23	start
-1.48570286971882	1.50514997831991	1	p=0.5073	constant impossible 32	3	25	start
-1.44736365050022	1.7481880270062	1	p=0.0272	constant impossible 56	3	26	start
-1.43836341135834	2	1	p=0.0073	constant impossible 100	3	20	end
-1.461832307486	2.25042000230889	1	p=0.0364	constant impossible 178	3	22	end
-1.47792047999297	2.4996870826184	1	p=0.1228	constant impossible 316	3	24	end
-1.51049545073972	2.74973631556906	1	p=0.5044	constant impossible 562	3	27	end
-1.5305396896467	3	1	p=1.0000	constant impossible 1000	3	21	end
-1.39904440461156	1	1	p=1.0000	sin easy 10	4	28	start
-1.39891782763636	1.25527250510331	1	p=1.0000	sin easy 18	4	32	start
-1.401838505893	1.50514997831991	1	p=0.6498	sin easy 32	4	34	start
-1.40186894344476	1.7481880270062	1	p=0.0002	sin easy 56	4	35	start
-1.40328400679932	2	1	p<0.0001	sin easy 100	4	29	end
-1.4045273164394	2.25042000230889	1	p<0.0001	sin easy 178	4	31	end
-1.40399536337713	2.4996870826184	1	p<0.0001	sin easy 316	4	33	end
-1.4040212683094	2.74973631556906	1	p<0.0001	sin easy 562	4	36	end
-1.40371610268986	3	1	p<0.0001	sin easy 1000	4	30	end
-1.43908653488759	1	1	p=1.0000	sin hard 10	5	37	start
-1.46882471616299	1.25527250510331	1	p=1.0000	sin hard 18	5	41	start
-1.41855099691832	1.50514997831991	1	p=0.0210	sin hard 32	5	43	start
-1.47478300230574	1.7481880270062	1	p=0.7663	sin hard 56	5	44	start
-1.4798114003305	2	1	p=0.1640	sin hard 100	5	38	end
-1.48218958450611	2.25042000230889	1	p=0.0686	sin hard 178	5	40	end
-1.48300039786772	2.4996870826184	1	p=0.0081	sin hard 316	5	42	end
-1.48326571340606	2.74973631556906	1	p=0.0062	sin hard 562	5	45	end
-1.48375238188429	3	1	p=0.0013	sin hard 1000	5	39	end
-1.51259629474645	1	1	p=1.0000	sin impossible 10	6	46	start
-1.514683428509	1.25527250510331	1	p=1.0000	sin impossible 18	6	50	start
-1.41952813181567	1.50514997831991	1	p=0.0374	sin impossible 32	6	52	start
-1.43082513698477	1.7481880270062	1	p=0.0025	sin impossible 56	6	53	start
-1.41763947227961	2	1	p=0.0068	sin impossible 100	6	47	end
-1.43298707037618	2.25042000230889	1	p=0.0241	sin impossible 178	6	49	end
-1.45758426380785	2.4996870826184	1	p=0.0795	sin impossible 316	6	51	end
-1.51707749856769	2.74973631556906	1	p=0.7639	sin impossible 562	6	54	end
-1.52154902156345	3	1	p=0.8923	sin impossible 1000	6	48	end
